User: admin | ID: 1 | Employee: NONE | Email: admin@gmail.com | Phone: 0983241514
User: mdieu@gmail.com | ID: 3 | Employee: M Dieu Updated | Email: mdieu@gmail.com | Phone: 0987654321
User: mthuy@gmail.com | ID: 4 | Employee: Nguyễn Minh Thúy | Email:  | Phone: 
User: mduc@gmail.com | ID: 5 | Employee: Nguyễn Minh Đức | Email:  | Phone: 
User: phang@gmail.com | ID: 6 | Employee: Phương Hằng | Email: phang@gmail.com | Phone: 0291829182
User: worker_1@company.com | ID: 7 | Employee: Công Nhân Giả Định 1 | Email:  | Phone: 
User: worker_2@company.com | ID: 8 | Employee: Công Nhân Giả Định 2 | Email:  | Phone: 
User: worker_3@company.com | ID: 9 | Employee: Công Nhân Giả Định 3 | Email:  | Phone: 
User: worker_4@company.com | ID: 10 | Employee: Công Nhân Giả Định 4 | Email:  | Phone: 
User: worker_5@company.com | ID: 11 | Employee: Công Nhân Giả Định 5 | Email:  | Phone: 
User: worker_6@company.com | ID: 12 | Employee: Công Nhân Giả Định 6 | Email:  | Phone: 
User: worker_7@company.com | ID: 13 | Employee: Công Nhân Giả Định 7 | Email:  | Phone: 
User: worker_8@company.com | ID: 14 | Employee: Công Nhân Giả Định 8 | Email:  | Phone: 
User: worker_9@company.com | ID: 15 | Employee: Công Nhân Giả Định 9 | Email:  | Phone: 
User: worker_10@company.com | ID: 16 | Employee: Công Nhân Giả Định 10 | Email:  | Phone: 
User: anh.nguyen90@gmail.com | ID: 17 | Employee: Hoàng Đôn Huấn | Email: anh.nguyen90@gmail.com | Phone: 0901234567
User: bao.tran85@gmail.com | ID: 18 | Employee: Hoàng Như Hoàng Oanh | Email: bao.tran85@gmail.com | Phone: 0912345678
User: chi.le92@gmail.com | ID: 19 | Employee: Võ Hà Chung | Email: chi.le92@gmail.com | Phone: 0983456789
User: duy.pham88@gmail.com | ID: 20 | Employee: Nguyễn Thị Mỹ Liên | Email: duy.pham88@gmail.com | Phone: 0974567890
User: em.hoang95@gmail.com | ID: 21 | Employee: Đinh Hoàng Phú | Email: em.hoang95@gmail.com | Phone: 0935678901
User: giang.vo82@gmail.com | ID: 22 | Employee: Phan Cao Tùng | Email: giang.vo82@gmail.com | Phone: 0946789012
User: huong.do78@gmail.com | ID: 23 | Employee: Hồ Thị Thái Hằng | Email: huong.do78@gmail.com | Phone: 0867890123
